size_bin_cm,branching,other
5,0.2,0.2
10,0.148,0.04
15,0.148,0.04
20,0.076,0.02
25,0.076,0.02
30,0.076,0.02
35,0.076,0.02
40,0.076,0.02
45,0.076,0.02
50,0.076,0.02
55,0.076,0.02
60,0.076,0.02
65,0.076,0.02
70,0.076,0.02
75,0.076,0.02
80,0.076,0.02
85,0.076,0.02
90,0.076,0.02
95,0.076,0.02
