Time,Site,LR,HR
2098,Saint Croix,39.5767322,29.0008616
2098,Saint Thomas,38.90241569,28.76854735
2099,Cheeca Rocks,41.63665529,35.36628898
2099,Dry Tortugas,40.11050363,34.19109776
2099,Flower Garden Banks,38.58800678,34.59318073
2099,La Parguera,39.13846687,28.42029844
2099,Saint Croix,39.28396395,30.54451798
2099,Saint Thomas,39.09545324,28.79393446
2100,Cheeca Rocks,43.60914377,34.76657726
2100,Dry Tortugas,41.99260885,33.65728815
2100,Flower Garden Banks,40.44639499,34.55512619
2100,La Parguera,40.10579876,32.59554645
2100,Saint Croix,40.17563015,31.90975183
2100,Saint Thomas,40.26677676,31.77130957
