Time,Site,LR,HR
2019,Dry Tortugas,0.011735629,0.914644826
2019,Flower Garden Banks,-3.261059421,2.225747144
2019,La Parguera,2.850337708,1.170049027
2019,Saint Croix,3.65723149,1.169213092
2019,Saint Thomas,3.598235914,0.329511127
2020,Cheeca Rocks,0.445706075,0.937084363
2020,Dry Tortugas,-0.845412367,-0.86067248
2020,Flower Garden Banks,-2.771906334,0.755888395
2020,La Parguera,1.817233155,-0.831625187
2020,Saint Croix,2.393155137,2.624334723
2020,Saint Thomas,1.962142062,0.344147172
2021,Cheeca Rocks,0.79873259,3.22466292
2021,Dry Tortugas,-0.108623988,1.587210556
2021,Flower Garden Banks,-2.773570771,1.237254928
2021,La Parguera,1.082018681,2.570033781
2021,Saint Croix,1.240868909,2.494901633
2021,Saint Thomas,1.353283086,1.878108744
2022,Cheeca Rocks,2.285990615,3.541863716
2022,Dry Tortugas,2.182324627,0.926276027
2022,Flower Garden Banks,-0.046923189,2.190455591
2022,La Parguera,3.536766482,3.306279827
2022,Saint Croix,3.830754623,4.043457844
2022,Saint Thomas,3.793447483,3.243384743
2023,Cheeca Rocks,3.586235452,3.519698781
2023,Dry Tortugas,3.407525853,2.686476254
2023,Flower Garden Banks,0.137105093,3.325525251
2023,La Parguera,5.534257788,5.941920848
2023,Saint Croix,5.934423536,4.025989067
2023,Saint Thomas,6.329335065,4.679772484
2024,Cheeca Rocks,3.118877283,5.006551212
2024,Dry Tortugas,2.130974691,3.84178988
2024,Flower Garden Banks,-0.137204008,3.612064106
2024,La Parguera,4.471440815,3.135065356
2024,Saint Croix,4.928849865,3.985725119
2024,Saint Thomas,4.745973675,2.712722193
2025,Cheeca Rocks,2.612217959,1.823977826
2025,Dry Tortugas,2.430931394,0.275866519
2025,Flower Garden Banks,-0.719105649,0.353372097
2025,La Parguera,2.90601909,2.024959617
2025,Saint Croix,2.99307983,2.722322758
2025,Saint Thomas,2.90185515,2.016310042
2026,Cheeca Rocks,2.628093532,2.322651732
2026,Dry Tortugas,2.434855232,-0.269191958
2026,Flower Garden Banks,-1.289284057,1.233261599
2026,La Parguera,3.651003562,6.506804211
