"Time","Scenario","variable","perHC","perBBS","permicro","perSCP"
2023,"SSP5_8.5","1",90.1,1.4,8,0.5
2023,"SSP5_8.5","1.25",90,1.4,8,0.5
2023,"SSP5_8.5","1.5",90.1,1.4,8,0.5
2023,"SSP5_8.5","1.75",90.1,1.4,8,0.5
2023,"SSP5_8.5","2",90.1,1.4,8,0.5
2024,"SSP2_4.5","0",90.1,1.4,8,0.5
2024,"SSP2_4.5","0.25",90.1,1.4,8,0.5
2024,"SSP2_4.5","0.5",90.1,1.4,8,0.5
2024,"SSP2_4.5","0.75",90.1,1.4,8,0.5
2024,"SSP2_4.5","1",90.1,1.4,8,0.5
2024,"SSP2_4.5","1.25",90.1,1.4,8,0.5
2024,"SSP2_4.5","1.5",90.1,1.4,8,0.5
2024,"SSP2_4.5","1.75",90.1,1.4,8,0.5
2024,"SSP2_4.5","2",90.1,1.4,8,0.5
2024,"SSP5_8.5","0",89.7,1.4,8.4,0.5
2024,"SSP5_8.5","0.25",89.7,1.4,8.4,0.5
2024,"SSP5_8.5","0.5",89.7,1.4,8.4,0.5
2024,"SSP5_8.5","0.75",89.7,1.4,8.4,0.5
2024,"SSP5_8.5","1",89.7,1.4,8.4,0.5
2024,"SSP5_8.5","1.25",89.6,1.5,8.4,0.5
2024,"SSP5_8.5","1.5",89.7,1.4,8.4,0.5
2024,"SSP5_8.5","1.75",89.7,1.4,8.4,0.5
2024,"SSP5_8.5","2",89.7,1.4,8.4,0.5
2025,"SSP2_4.5","0",90.1,1.4,7.9,0.5
2025,"SSP2_4.5","0.25",90.1,1.4,7.9,0.5
2025,"SSP2_4.5","0.5",90.1,1.4,7.9,0.5
2025,"SSP2_4.5","0.75",90.1,1.4,7.9,0.5
2025,"SSP2_4.5","1",90.1,1.4,7.9,0.5
2025,"SSP2_4.5","1.25",90.1,1.4,7.9,0.5
2025,"SSP2_4.5","1.5",90.1,1.4,7.9,0.5
2025,"SSP2_4.5","1.75",90.1,1.4,7.9,0.5
2025,"SSP2_4.5","2",90.1,1.4,7.9,0.5
2025,"SSP5_8.5","0",89.5,1.4,8.5,0.5
2025,"SSP5_8.5","0.25",89.5,1.4,8.5,0.5
2025,"SSP5_8.5","0.5",89.5,1.4,8.5,0.5
2025,"SSP5_8.5","0.75",89.5,1.4,8.5,0.5
2025,"SSP5_8.5","1",89.5,1.4,8.5,0.5
2025,"SSP5_8.5","1.25",89.5,1.5,8.6,0.5
2025,"SSP5_8.5","1.5",89.5,1.4,8.5,0.5
2025,"SSP5_8.5","1.75",89.5,1.4,8.5,0.5
2025,"SSP5_8.5","2",89.5,1.4,8.5,0.5
2026,"SSP2_4.5","0",90.1,1.4,8,0.5
2026,"SSP2_4.5","0.25",90.1,1.4,8,0.5
2026,"SSP2_4.5","0.5",90.1,1.4,8,0.5
2026,"SSP2_4.5","0.75",90.1,1.4,8,0.5
2026,"SSP2_4.5","1",90.1,1.4,8,0.5
2026,"SSP2_4.5","1.25",90.1,1.4,8,0.5
2026,"SSP2_4.5","1.5",90.1,1.4,8,0.5
2026,"SSP2_4.5","1.75",90.1,1.4,8,0.5
2026,"SSP2_4.5","2",90.1,1.4,8,0.5
2026,"SSP5_8.5","0",90,1.4,8,0.5
2026,"SSP5_8.5","0.25",90,1.4,8,0.5
2026,"SSP5_8.5","0.5",90,1.4,8,0.5
2026,"SSP5_8.5","0.75",90,1.4,8,0.5
2026,"SSP5_8.5","1",90,1.4,8,0.5
2026,"SSP5_8.5","1.25",90,1.5,8.1,0.5
2026,"SSP5_8.5","1.5",90,1.4,8,0.5
2026,"SSP5_8.5","1.75",90,1.4,8,0.5
2026,"SSP5_8.5","2",90,1.4,8,0.5
2027,"SSP2_4.5","0",90.1,1.4,8,0.5
2027,"SSP2_4.5","0.25",90.1,1.4,8,0.5
2027,"SSP2_4.5","0.5",90.1,1.4,8,0.5
2027,"SSP2_4.5","0.75",90.1,1.4,8,0.5
2027,"SSP2_4.5","1",90.1,1.4,8,0.5
2027,"SSP2_4.5","1.25",90.1,1.4,8,0.5
2027,"SSP2_4.5","1.5",90.1,1.4,8,0.5
2027,"SSP2_4.5","1.75",90.1,1.4,8,0.5
2027,"SSP2_4.5","2",90.1,1.4,8,0.5
2027,"SSP5_8.5","0",89.9,1.4,8.2,0.5
2027,"SSP5_8.5","0.25",89.9,1.4,8.2,0.5
2027,"SSP5_8.5","0.5",89.9,1.4,8.2,0.5
2027,"SSP5_8.5","0.75",89.9,1.4,8.2,0.5
2027,"SSP5_8.5","1",89.9,1.4,8.2,0.5
2027,"SSP5_8.5","1.25",89.8,1.5,8.2,0.5
2027,"SSP5_8.5","1.5",89.9,1.4,8.2,0.5
2027,"SSP5_8.5","1.75",89.9,1.4,8.2,0.5
2027,"SSP5_8.5","2",89.9,1.4,8.2,0.5
2028,"SSP2_4.5","0",90,1.4,8.1,0.5
2028,"SSP2_4.5","0.25",90,1.4,8.1,0.5
2028,"SSP2_4.5","0.5",90,1.4,8.1,0.5
2028,"SSP2_4.5","0.75",90,1.4,8.1,0.5
2028,"SSP2_4.5","1",90,1.4,8.1,0.5
2028,"SSP2_4.5","1.25",90,1.4,8.1,0.5
2028,"SSP2_4.5","1.5",90,1.4,8.1,0.5
2028,"SSP2_4.5","1.75",90,1.4,8.1,0.5
2028,"SSP2_4.5","2",90,1.4,8.1,0.5
2028,"SSP5_8.5","0",89.7,1.5,8.4,0.5
2028,"SSP5_8.5","0.25",89.7,1.5,8.4,0.5
2028,"SSP5_8.5","0.5",89.7,1.5,8.4,0.5
2028,"SSP5_8.5","0.75",89.7,1.5,8.4,0.5
2028,"SSP5_8.5","1",89.7,1.5,8.4,0.5
2028,"SSP5_8.5","1.25",89.6,1.5,8.4,0.5
2028,"SSP5_8.5","1.5",89.7,1.5,8.4,0.5
2028,"SSP5_8.5","1.75",89.7,1.5,8.4,0.5
2028,"SSP5_8.5","2",89.7,1.5,8.4,0.5
2029,"SSP2_4.5","0",89.7,1.4,8.3,0.5
2029,"SSP2_4.5","0.25",89.7,1.4,8.3,0.5
2029,"SSP2_4.5","0.5",89.7,1.4,8.3,0.5
2029,"SSP2_4.5","0.75",89.7,1.4,8.3,0.5
2029,"SSP2_4.5","1",89.7,1.4,8.3,0.5
2029,"SSP2_4.5","1.25",89.7,1.4,8.3,0.5
2029,"SSP2_4.5","1.5",89.7,1.4,8.3,0.5
2029,"SSP2_4.5","1.75",89.7,1.4,8.3,0.5
2029,"SSP2_4.5","2",89.7,1.4,8.3,0.5
2029,"SSP5_8.5","0",89.2,1.5,8.8,0.5
2029,"SSP5_8.5","0.25",89.2,1.5,8.8,0.5
2029,"SSP5_8.5","0.5",89.2,1.5,8.8,0.5
2029,"SSP5_8.5","0.75",89.2,1.5,8.8,0.5
2029,"SSP5_8.5","1",89.2,1.5,8.8,0.5
2029,"SSP5_8.5","1.25",89.1,1.5,8.9,0.5
2029,"SSP5_8.5","1.5",89.2,1.5,8.8,0.5
2029,"SSP5_8.5","1.75",89.2,1.5,8.8,0.5
2029,"SSP5_8.5","2",89.2,1.5,8.8,0.5
2030,"SSP2_4.5","0",89.9,1.4,8.2,0.5
2030,"SSP2_4.5","0.25",89.9,1.4,8.2,0.5
2030,"SSP2_4.5","0.5",89.9,1.4,8.2,0.5
2030,"SSP2_4.5","0.75",89.9,1.4,8.2,0.5
2030,"SSP2_4.5","1",89.9,1.4,8.2,0.5
2030,"SSP2_4.5","1.25",89.9,1.4,8.2,0.5
2030,"SSP2_4.5","1.5",89.9,1.4,8.2,0.5
2030,"SSP2_4.5","1.75",89.9,1.4,8.2,0.5
2030,"SSP2_4.5","2",89.9,1.4,8.2,0.5
2030,"SSP5_8.5","0",89.5,1.5,8.6,0.5
2030,"SSP5_8.5","0.25",89.5,1.5,8.6,0.5
2030,"SSP5_8.5","0.5",89.5,1.5,8.6,0.5
2030,"SSP5_8.5","0.75",89.5,1.5,8.6,0.5
2030,"SSP5_8.5","1",89.5,1.5,8.6,0.5
2030,"SSP5_8.5","1.25",89.3,1.5,8.7,0.5
2030,"SSP5_8.5","1.5",89.5,1.5,8.6,0.5
2030,"SSP5_8.5","1.75",89.5,1.5,8.6,0.5
2030,"SSP5_8.5","2",89.5,1.5,8.6,0.5
2031,"SSP2_4.5","0",89.7,1.4,8.4,0.5
2031,"SSP2_4.5","0.25",89.7,1.4,8.4,0.5
2031,"SSP2_4.5","0.5",89.7,1.4,8.4,0.5
2031,"SSP2_4.5","0.75",89.7,1.4,8.4,0.5
2031,"SSP2_4.5","1",89.7,1.4,8.4,0.5
2031,"SSP2_4.5","1.25",89.7,1.4,8.4,0.5
2031,"SSP2_4.5","1.5",89.7,1.4,8.4,0.5
2031,"SSP2_4.5","1.75",89.7,1.4,8.4,0.5
2031,"SSP2_4.5","2",89.7,1.4,8.4,0.5
2031,"SSP5_8.5","0",89.4,1.5,8.6,0.5
2031,"SSP5_8.5","0.25",89.4,1.5,8.6,0.5
2031,"SSP5_8.5","0.5",89.4,1.5,8.6,0.5
2031,"SSP5_8.5","0.75",89.4,1.5,8.6,0.5
2031,"SSP5_8.5","1",89.4,1.5,8.6,0.5
2031,"SSP5_8.5","1.25",89.3,1.5,8.7,0.5
2031,"SSP5_8.5","1.5",89.4,1.5,8.6,0.5
2031,"SSP5_8.5","1.75",89.4,1.5,8.6,0.5
2031,"SSP5_8.5","2",89.4,1.5,8.6,0.5
2032,"SSP2_4.5","0",89.8,1.4,8.3,0.5
2032,"SSP2_4.5","0.25",89.8,1.4,8.3,0.5
2032,"SSP2_4.5","0.5",89.8,1.4,8.3,0.5
2032,"SSP2_4.5","0.75",89.8,1.4,8.3,0.5
2032,"SSP2_4.5","1",89.8,1.4,8.3,0.5
2032,"SSP2_4.5","1.25",89.8,1.4,8.3,0.5
2032,"SSP2_4.5","1.5",89.8,1.4,8.3,0.5
2032,"SSP2_4.5","1.75",89.8,1.4,8.3,0.5
2032,"SSP2_4.5","2",89.8,1.4,8.3,0.5
2032,"SSP5_8.5","0",89.3,1.5,8.7,0.5
2032,"SSP5_8.5","0.25",89.3,1.5,8.7,0.5
2032,"SSP5_8.5","0.5",89.3,1.5,8.7,0.5
2032,"SSP5_8.5","0.75",89.3,1.5,8.7,0.5
2032,"SSP5_8.5","1",89.3,1.5,8.7,0.5
2032,"SSP5_8.5","1.25",89.2,1.5,8.8,0.5
