"Time","variable","CoralCover","Scenario"
2046,"0.25",38.3671203011884,"SSP2_4.5"
2047,"0.25",38.6740572635979,"SSP2_4.5"
2048,"0.25",38.9834497217067,"SSP2_4.5"
2049,"0.25",38.4262771036983,"SSP2_4.5"
2050,"0.25",38.7336873205279,"SSP2_4.5"
2051,"0.25",39.0435568190921,"SSP2_4.5"
2052,"0.25",38.4886072617097,"SSP2_4.5"
2053,"0.25",37.9445899590096,"SSP2_4.5"
2054,"0.25",37.4112694377448,"SSP2_4.5"
2055,"0.25",36.8884158290986,"SSP2_4.5"
2056,"0.25",36.375804723593,"SSP2_4.5"
2057,"0.25",34.2862019553063,"SSP2_4.5"
2058,"0.25",33.820955045339,"SSP2_4.5"
2059,"0.25",31.9145544590544,"SSP2_4.5"
2060,"0.25",30.1425904420388,"SSP2_4.5"
2061,"0.25",28.4946058480228,"SSP2_4.5"
2062,"0.25",26.9610233477747,"SSP2_4.5"
2063,"0.25",25.5330660154696,"SSP2_4.5"
2064,"0.25",24.2026855176022,"SSP2_4.5"
2065,"0.25",22.9624971429657,"SSP2_4.5"
2066,"0.25",21.805720991015,"SSP2_4.5"
2067,"0.25",20.7261287063874,"SSP2_4.5"
2068,"0.25",19.7179952103613,"SSP2_4.5"
2069,"0.25",18.7760549364054,"SSP2_4.5"
2070,"0.25",17.8954621273977,"SSP2_4.5"
2071,"0.25",17.0717547972394,"SSP2_4.5"
2072,"0.25",16.3008219999906,"SSP2_4.5"
2073,"0.25",15.5788740858399,"SSP2_4.5"
2074,"0.25",14.9024156556274,"SSP2_4.5"
2075,"0.25",14.2682209546753,"SSP2_4.5"
2076,"0.25",13.6733114726995,"SSP2_4.5"
2077,"0.25",13.1149355399011,"SSP2_4.5"
2078,"0.25",12.5905497302518,"SSP2_4.5"
2079,"0.25",12.0978019017474,"SSP2_4.5"
2080,"0.25",11.6345157202357,"SSP2_4.5"
2081,"0.25",11.1986765285337,"SSP2_4.5"
2082,"0.25",10.7884184361111,"SSP2_4.5"
2083,"0.25",10.4020125168032,"SSP2_4.5"
2084,"0.25",10.037856012956,"SSP2_4.5"
2085,"0.25",9.69446245424934,"SSP2_4.5"
2086,"0.25",9.37045260828431,"SSP2_4.5"
2087,"0.25",9.06454618797752,"SSP2_4.5"
2088,"0.25",8.77555424796363,"SSP2_4.5"
2089,"0.25",8.50237220864914,"SSP2_4.5"
2090,"0.25",8.2439734523632,"SSP2_4.5"
2091,"0.25",7.99940344127772,"SSP2_4.5"
2092,"0.25",7.76777431148011,"SSP2_4.5"
2093,"0.25",7.54825990182902,"SSP2_4.5"
2094,"0.25",7.34009118005488,"SSP2_4.5"
2095,"0.25",7.14255203202494,"SSP2_4.5"
2096,"0.25",6.95497538321397,"SSP2_4.5"
2097,"0.25",6.77673962424173,"SSP2_4.5"
2098,"0.25",6.607265314887,"SSP2_4.5"
2099,"0.25",6.44601214329187,"SSP2_4.5"
2100,"0.25",6.2924761191547,"SSP2_4.5"
2019,"0.5",26.7996713877008,"SSP2_4.5"
2020,"0.5",27.0140687588024,"SSP2_4.5"
2021,"0.5",27.2301813088728,"SSP2_4.5"
2022,"0.5",27.4480227593438,"SSP2_4.5"
2023,"0.5",27.8096823893897,"SSP2_4.5"
2024,"0.5",28.1742352964759,"SSP2_4.5"
2025,"0.5",28.5417046268189,"SSP2_4.5"
2026,"0.5",28.9121137118046,"SSP2_4.5"
2027,"0.5",29.2854860694701,"SSP2_4.5"
2028,"0.5",29.661845405997,"SSP2_4.5"
2029,"0.5",30.0412156172161,"SSP2_4.5"
2030,"0.5",30.423620790125,"SSP2_4.5"
2031,"0.5",30.8090852044171,"SSP2_4.5"
2032,"0.5",31.1976333340236,"SSP2_4.5"
2033,"0.5",31.773060445788,"SSP2_4.5"
2034,"0.5",32.3530909744464,"SSP2_4.5"
2035,"0.5",32.9377617473342,"SSP2_4.5"
2036,"0.5",33.527109886405,"SSP2_4.5"
2037,"0.5",34.1211728105884,"SSP2_4.5"
2038,"0.5",34.7199882381653,"SSP2_4.5"
2039,"0.5",35.3235941891628,"SSP2_4.5"
2040,"0.5",35.9320289877683,"SSP2_4.5"
2041,"0.5",36.5453312647626,"SSP2_4.5"
2042,"0.5",37.1635399599729,"SSP2_4.5"
2043,"0.5",37.4608482796527,"SSP2_4.5"
2044,"0.5",37.7605350658899,"SSP2_4.5"
2045,"0.5",38.062619346417,"SSP2_4.5"
2046,"0.5",38.3671203011884,"SSP2_4.5"
2047,"0.5",38.6740572635979,"SSP2_4.5"
2048,"0.5",38.9834497217067,"SSP2_4.5"
2049,"0.5",39.2953173194803,"SSP2_4.5"
2050,"0.5",39.6096798580361,"SSP2_4.5"
2051,"0.5",39.9265572969004,"SSP2_4.5"
2052,"0.5",40.2459697552756,"SSP2_4.5"
2053,"0.5",40.5679375133179,"SSP2_4.5"
2054,"0.5",40.8924810134244,"SSP2_4.5"
2055,"0.5",40.3340187207845,"SSP2_4.5"
2056,"0.5",39.8110604832162,"SSP2_4.5"
2057,"0.5",39.2984105306092,"SSP2_4.5"
2058,"0.5",38.7956643336695,"SSP2_4.5"
2059,"0.5",38.2776490816906,"SSP2_4.5"
2060,"0.5",37.7935086774359,"SSP2_4.5"
2061,"0.5",37.3190514268778,"SSP2_4.5"
2062,"0.5",36.8537088789337,"SSP2_4.5"
2063,"0.5",34.7656374604967,"SSP2_4.5"
2064,"0.5",32.811960277057,"SSP2_4.5"
2065,"0.5",30.9960357071193,"SSP2_4.5"
2066,"0.5",29.3071392484596,"SSP2_4.5"
2067,"0.5",27.7354501346458,"SSP2_4.5"
2068,"0.5",26.2719695858264,"SSP2_4.5"
2069,"0.5",24.9084469060845,"SSP2_4.5"
2070,"0.5",23.6373126391517,"SSP2_4.5"
2071,"0.5",22.4516180760888,"SSP2_4.5"
2072,"0.5",21.3449804816694,"SSP2_4.5"
